,epsilon,sigma
Zn,62.4,2.46
C,52.84,3.43
H,22.14,2.57
O,30.19,3.12
Mg,55.85,2.69
N,34.72,3.26
S,137.89,3.6
Cl,114.24,3.516
F,25.163,2.996
Br,126.32,3.731
Cu,2.515,3.113
V,8.05,2.801
Zr,34.72,2.78
Si,202.3,3.825
I,170.6,4.0
Ge,190.71,3.812
P,153.47,3.693
Co,7.044,2.5576
Mn,6.541,2.638
Eu,4.025,3.1119
Ag,18.1135,2.804
Gd,4.528,3.0
Cs,22.64,4.024
In,301.38,3.976
Mo,28.176,2.719
Ce,6.541,3.168
Cd,114.72,2.5372
Nb,29.686,2.819
Na,15.094,2.657
La,8.553,3.1377
Li,12.578845,2.1835959
B,90.567684,3.6375447
Al,254.092669,4.0081591
K,17.610383,3.3961108
Ca,119.7506044,3.0281691
Sc,9.5599222,2.9355155
Cr,7.547307,2.6931907
Fe,6.5409994,2.5943008
Ni,7.547307,2.5248106
Ga,208.808827,3.9048147
As,155.4745242,3.768507
Se,146.4177558,3.7462345
Rb,20.126152,3.6651626
Sr,118.241143,3.2437669
Y,36.2270736,2.9800605
Ru,28.1766128,2.6397367
Pd,24.1513824,2.5827191
Sn,285.2882046,3.9128328
Sb,225.9160562,3.937778
Ba,183.1479832,3.2990027
Pr,5.031538,3.2125854
Nd,5.031538,3.1849675
Sm,4.0252304,3.135968
Tb,3.5220766,3.0744959
Dy,3.5220766,3.0540052
Ho,3.5220766,3.0370781
Er,3.5220766,3.01985
Tm,3.0189228,3.0058966
Yb,114.7190664,2.9889695
W,33.7113046,2.7341721
Re,33.2081508,2.6317186
Au,19.6229982,2.9337337
Hg,193.714213,2.4098845
Pb,333.5909694,3.8281973
Bi,260.6336684,3.893233
Th,13.0819988,3.0254964
U,11.0693836,3.0246055
Lu,20.6293,3.2428
Pt,40.2523,2.453539
Te,200.25,3.9823
Be,42.768,2.4455
Pu,8.05046,3.0504
Ti,8.554,2.829
Ir,36.719,2.492
Os,18.617,2.778
Ta,40.757,2.823
Rh,26.668,2.6084
Am,7.044,3.0109
Np,9.56,3.049
Tl,342.16,3.871
Hf,36.23,2.797
